문의유형,문의내용,답변,비고
과제검색 안됨,과제검색이 안돼요.,"과제는 NTIS가 직접 수집,등록을 하는게 아닌 과제관리기관에서 넘겨주는 정보 그대로 서비스됩니다.
과제등록여부확인은 과제관리기관으로 문의하시기 바랍니다.
과제관리기관에서 과제 등록 후 NTIS에 연계되면 2~3일 후에 NTIS에서 검색됩니다. 
보안과제는 검색이 안되며, ntis@kisti.re.kr으로 연구책임자 신분과 함께 과제정보를 보내주시면 확인 후 답변드리겠습니다.",
OpenAPI,OpenAPI 어떻게 사용하나요?,OpenAPI는 신청조건이 있으며 매뉴얼을 참고하여 사용하시기 바랍니다.,"""OpenAPI 페이지"" 바로가기링크 추가되나요?"
홈페이지 이용문의,NTIS 홈페이지 불편사항 혹은 문의사항,"메인화면 우측 하단의 ""NTIS이용문의""를 이용하여 문의 바랍니다.
※ntis@kisti.re.kr  ☏042-869-1115
+ 이용문의 바로가기링크 추가",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
